1. Dejan Mijač, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
610. Radmilo Pešić, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
611. Marija Savić Veselinović, docent, Biološki fakultet, Univerzitet u Beogradu
612. Filip Kuranji, viši stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
613. Milica Milutinović, saradnik u nastavi, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
614. Aleksandar Ramadanović, viši stručni saradnik, Akademija umetnosti, Univerzitet u Novom Sadu
615. Iva Branković,asistent, Fakultet za medije i komunikacije, Univerzitet Singidunum
616. Nikica Strižak, lektor, Filološki fakultet, Univerzitet u Beogradu
617. Iva Lakic, docent, Biološki fakultet, Univerzitet u Beogradu
618. Zoran Janković, asistent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
619. Branislav Milovanović, asistent, Fakultet za fizičku hemiju, Univerzitet u Beogradu
620. Milan Banjac, docent, Mašinski fakultet, Univerzitet u Beogradu
621. Zoran Skrobanović, vanredni profesor, Filološki fakultet Univerziteta u Beogradu
622. Aleksandra Bogdanović, asistent, Filozofski fakultet, Univerzitet u Nišu
623. Olga Tomić, redovna profesorka u penziji, Filozofski fakultet, Univerzitet u Novom Sadu
624. Sanja Fric, docent, Građevinski fakultet, Univerzitet u Beogradu
625. Aleksandar Ignjatović, vanredni profesor, Fakultet pedagoških nauka Univerziteta u Kragujevcu
626. Branislav Šiler, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
627. Ljubiša Mitrović, profesor emeritus, Filozofski fakultet Univerziteta u Nišu
628. Anja Mitić, docent, Fakultet za pravne i poslovne studije dr Lazar Vrkatić, Univerzitet Union
629. Branislav Ćorić, redovni profesor u penziji, Gradjevinski fakultet, Univerzitet u Beogradu
630. Branimir Jovančićević, redovni profesor, Hemijski fakultet, Univerzitet u Beogradu
631. Radomir Banjanac, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
632. Dejan Suzović, vanredni profesor, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Beogradu
633. Emilija Krajnović- Jakšić, redovna profesorka u penziji, Medicinski fakultet, Univerzitet u Beogradu
634. Ana Knežević Bojović, naučni saradnik, Institut za uporedno pravo, Beograd
635. Zorka Dulić, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
636. Jelena Dimitrijević, naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
637. Vesna Ćorić, naučni saradnik, Institut za uporedno pravo, Beograd
638. Jelica Đokić, redovna profesorka u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
639. Mila Samardžić, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
640. Marija Pavlović, docent, Učiteljski fakultet, Univerzitet u Beogradu
641. Vladimir Nešić, vanredni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
642. Danijela Vojnović Milutinović, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
643. Snežana Popov, istraživač saradnik, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
644. Željko Milanović, vanredni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
645. Miomir Vukićević,vanredni profesor u penziji, Fakultet za mašinstvo i građevinarstvo, Univerzitet u Kragujevcu
646. Vladimir Ž. Jovanović, redovni profesor, Filozofski fakultet, Univerzitet u Nišu
647. Boris Šobot, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
648. Bojan Pajtić, vanredni profesor, Pravni fakultet, Univerzitet u Novom Sadu
649. Slavko Mojsilović, naučni saradnik, Instut za medicinska istraživanja, Univerzitet u Beogradu
650. Radmila Stikić, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
651. Jelena Milašin, redovni profesor, Stomatološki fakultet, Univerzitet u Beogradu
652. Ratko Stanković, redovni profesor, Fakultet sporta i fizičkog vaspitanja, Univerzitet u Nišu
653. Petar Lokin,redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
654. Jasna Ivanović, viši naučni saradnik, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
655. Jasmina Ludoški, vanredna profesorka, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
656. Katarina Batalović, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
657. Katarina Radojičić Firevski, samostalni umetnički saradnik, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
658. Marko Pešić, istraživač, Prirodno-matematički fakultet, Univerzitet u Kragujevcu
659. Vesna Cakeljić, redovni profesor, Fakultet organizacionih nauka, Univerzitet u Beogradu
660. Jovan I. Rakidžić, redovni profesor u penziji, Akademija umetnosti, Univerzitet u Novom Sadu
661. Jelena Zagorac, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
662. Miroslav Stojanović, redovni profesor, Medicinski fakultet, Univerzitet u Nišu
663. Laura Spariosu, redovna profesorka, Filozofski fakultet, Univerzitet u Novom Sadu
664. Srđan Stojanović, viši naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
665. Miodrag Petković, redovni profesor u penziji, Elektronski fakultet, Univerzitet u Nišu
666. Sanja Miketić Subotić, docent, Filozofski fakultet, Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
667. Stevan Jokic, naučni savetnik u penziji, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
668. Višnja Kisić, docentkinja, Fakultet za sport i turizam TIMS, Univerzitet Educons, Novi Sad
669. Goran Tomka, docent, Fakultet za sport i turizam TIMS, Univerzitet Educons, Novi Sad
670. Nevena Puač, naučni savetnik, Institut za fiziku, Univerzitet u Beogradu
671. Vesna Poharc-Logar, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
672. Goran Roglić, redovni profesor, Hemijski fakultet, Univerzitet u Beogradu
673. Vera Spasenović, vanredni profesor, Filozofski fakultet, Univerzitet u Beogradu
674. Mihovil Logar, redovni profesor u penziji, Rudarsko-geološki fakultet, Univerzitet u Beogradu
675. Ljubiša Kočinac, profesor emeritus, Prirodno-matematički fakultet, Univerzitet u Nišu
676. Ana Pucar, vanredni profesor, Stomatološki fakultet, Univerzitet u Beogradu
677. Dragoslav Šumarac, redovni profesor, Građevinski fakultet, Univerzitet u Beogradu
678. Jelena Pešić, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
679. Ira Prodanov Krajišnik, redovni profesor, Akademija umetnosti, Univerzitet u Novom Sadu
680. Vera Nikolić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
681. Snežana Pešić Rajić, vanredni profesor, Fakultet savremenih umetnosti, Univerzitet Privredna akademija Novi Sad
682. Sanja Dimoski, vanredni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
683. Jelena Ajtić, vanredni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
684. Dragiša R. Trailović, redovni profesor, Fakultet veterinarske medicine, Univerzitet u Beogradu
685. Sergej Tomić, naučni saradnik, Institut za primenu nuklearne energije, Univerzitet u Beogradu
686. Gordana Stojić, docent, Filozofski fakultet, Univerzitet u Nišu
687. Dušan Vranješević, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
688. Ivana Kovačević, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
689. Tijana Dabovic, docent, Geografski fakultet, Univerzitet u Beogradu
690. Tatjana Došenović, redovni profesor, Tehnološki fakultet, Univerzitet u Novom Sadu
691. Vladan Čokić, naučni savetnik, Institut za medicinska istraživanja, Univerzitet u Beogradu
692. Iris Žeželj, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
693. Milorad Vujičić, docent, Biološki fakultet, Univerzitet u Beogradu
694. Maja Ivanović, docent, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
695. Aleksandar Đorđević, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
696. Srđan Rakić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
697. Branislav Jović, vanredni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
698. Zoran Stevanović, redovni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
699. Mira Petronijević, redovni profesor u penziji, Građevinski fakultet, Univerzitet u Beogradu
700. Boris Mamužić, saradnik u nastavi, Rudarsko-geološki fakultet, Univerzitet u Beogradu
701. Adriana Zaharijević, naučna saradnica Instituta za filozofiju i društvenu teoriju, Univerzitet u Beogradu
702. Jelena Blagojević, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
703. Dušan Antonović, redovni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
704. Jelena Todorović, redovni profesor, Fakultet likovnih umetnosti, Univerzitet umetnosti u Beogradu
705. Marija Tasić, vanredni profesor, Tehnološki fakultet, Univerzitet u Nišu
706. Biljana Đorđević, asistent, Mašinski fakultet, Univerzitet u Nišu
707. Radomir Folić, profesor emeritus, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
708. Nadja Kurtović Folić, redovni profesor u penziji, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
709. Branko Romčević, vanredni profesor, Fakultet bezbednosti, Univerzitet u Beogradu
710. Mihajlo Pantić, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
711. Dubravka Cvejić, naučni savetnik, Institut za primenu nuklearne energije, Univerzitet u Beogradu
712. Stevica Graovac, vanredni profesor u penziji, Elektrotehnički fakultet, Univerzitet u Beogradu
713. Jelena Rašković, asistent, Ekonomski fakultet, Univerzitet u Beogradu
714. Milan Mirić, redovni profesor u penziji, Farmaceutski fakultet, Univerzitet u Beogradu
715. Tatjana Tasić, asistent, Stomatološki fakultet, Univerzitet u Beogradu
716. Stevan Stojadinović, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
717. Vladan Čelebonović,naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
718. Ankica Vučković, docent, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
719. Ivana Simonović, docentkinja, Pravni fakultet, Univerzitet u Nišu
720. Dr Vladimir Žikić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
721. Aleksandra Lončar, docent, Filozofski fakultet, Univerzitet u Nišu
722. Vladimir Despotović, vanredni profesor, Tehnički fakultet u Boru, Univerzitet u Beogradu
723. Miroslav Konstantinović, naučni savetnik u penziji, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
724. Jelena Munćan, docent, Mašinski fakultet, Univerzitet u Beogradu
725. Zoran Krstić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
726. Miloš Subotić, stručni saradnik, , Univerzitet u Prištini sa privremenim sedištem u Kosovskoj Mitrovici
728. Mihajlo Manić, vanredni profesor, Fakultet za diplomatiju i bezbednost, Univerzitet u Beogradu
729. Maja Šćepanović, naučni savetnik, Institut za fiziku, Univerzitet u Beogradu
730. Biljana Panić, docent, Fakultet organizacionih nauka, Univerzitet u Beogradu
731. Aleksandar Obradović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
732. Vladimir Stevanović, redovni profesor, Biološki fakultet, Univerzitet u Beogradu
0.   Vladimir Stevanović, redovni član SANU
733. Biljana Tešanović, vanredni profesor, Filološko-umetnički fakultet, Univerzitet u Kragujevcu
734. Marica Rajković, docent, Filozofski fakultet, Univerzitet u Novom Sadu
735. Snežana Jovanović-Srzentić, saradnik u nastavi, Medicinski fakultet, Univerzitet u Beogradu
736. Miladin Ševarlić, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Beogradu
737. Tanja Ćirković Veličković, redovni profesor, Hemijski fakultet, Univerzitet u Beogradu
738. Zoran Stević, redovni profesor, Tehnički fakultet u Boru, Univerzitet u Beogradu
739. Aleksandar Baucal, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu
740. Jelena Đokić, naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
741. Marko Avramović, istraživač saradnik, Institut za književnost i umetnost, Beograd
742. Dobrila Škatarić, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
743. Snezana Bojović, redovni profesor u penziji, Hemijski fakultet, Univerzitet u Beogradu
744. Radovan Omorjan, redovni profesor, Tehnološki fakultet, Univerzitet u Novom Sadu
745. Ivan Simić, docent, Arhitektonski fakultet, Univerzitet u Beogradu
746. Ljubomir Miladinović, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
747. Radovan Petrović, redovni profesor u penziji, , Univerzitet Union - Nikola Tesla
748. Dimitar Jakimov, naučni saradnik, Medicinski fakultet, Univerzitet u Novom Sadu
749. Živko Ćurčić, naučni saradnik, Institut za ratarstvo i povrtarstvo, Novi Sad
750. Dubravka Živković, naučni saradnik, Fakultet inženjerskih nauka Univerziteta u Kragujevcu
751. Mina Đikanović, docent, Filozofski fakultet, Univerzitet u Novom Sadu
752. Veselin Dragišić, redovni profesor, Rudarsko-geološki fakultet, Univerzitet u Beogradu
753. Živojin Stamenković, docent, Mašinski fakultet, Univerzitet u Nišu
754. Dragoljub Belić, redovni profesor, Fizički fakultet, Univerzitet u Beogradu
755. Vladimir Živanović, docent, Rudarsko-geološki fakultet, Univerzitet u Beogradu
756. Davor Peruško, viši naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
757. Branka Popović, vanredni profesor, Stomatološki fakultet, Univerzitet u Beogradu
758. Jovan Ćirić, naučni saradnik, Istraživačko razvojni centar “Alfatec”, Univerzitet u Nišu
759. Nevena Varnica, docentkinja, Filozofski fakultet, Univerzitet u Novom Sadu
760. Olivera Latković, naučni saradnik, Astronomska opservatorija, Beograd
761. Ljubica Đačanin Far, asistent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
762. Branislava Gemović, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
763. Vladimir Beškoski, vanredni profesor, Hemijski fakultet, Univerzitet u Beogradu
764. Vladimir Đorić, docent, Saobraćajni fakultet, Univerzitet u Beogradu
765. Predrag Mimović, redovni profesor, Ekonomski fakultet, Univerzitet u Kragujevcu
766. Nebojša Petrović, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
767. Katarina Zeljić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
768. Slobodan Ranković, docent, Građevinsko-arhitektonski fakultet, Univerzitet u Nišu
769. Slavoljub Živković, redovni profesor, Stomatološki fakultet, Univerzitet u Beogradu
770. Predrag Radišić, naučni saradnik, Istraživačko-razvoni institut za informacione tehnologije biosistema, Univerzitet u Novom Sadu
771. Marina Radić Šestić, redovni profesor, Fakultet za specijalnu edukaciju i rehabilitaciju, Univerzitet u Beogradu
772. Marina Savić, docent, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
773. Mladen Vujošević, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
774. Nevena Jevtić, docent, Filozofski fakultet, Univerzitet u Novom Sadu
775. Aleksandar Boričić, naučni saradnik, Mašinski fakultet Univerziteta u Nišu
776. Tanja Berić, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
777. Mihailo Jelić, docent, Biološki fakultet, Univerzitet u Beogradu
778. Miodrag Banješević, docent, Tehnički fakultet u Boru, Univerzitet u Beogradu
779. Ivan Bugarski, naučni saradnik, Arheološki institut, Beograd
780. Jelisaveta Petrović, docent, Filozofski fakultet, Univerzitet u Beogradu
781. Stanko Vlaški, docent, Filozofski fakultet, Univerzitet u Novom Sadu
782. Desanka Milanović, viši naučni saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
783. Miroslav Marjanović, docent, Građevinski fakultet, Univerzitet u Beogradu
784. Slađana Kostić Rajačić, naučni savetnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
785. Goran Pavlović, naučni saradnik, Istraživačko razvojni centar “Alfatec”, Univerzitet u Nišu
786. Đorđe Miljković, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
787. Danijela Laketa, docent, Biološki fakultet, Univerzitet u Beogradu
788. Milutin Blagojević, naučni savetnik u penziji, Institut za fiziku, Univerzitet u Beogradu
789. Lara Lebedinski, naučni saradnik,Institut ekonomskih nauka, Univerzitet u Beogradu
790. Đorđe Okanović, naučni savetnik u penziji, Naučni institut za prehrambene tehnologije, Univerzitet u Novom Sadu
791. Božo Drašković, redovni profesor u penziji, Institut ekonomskih nauka, Univerzitet u Beogradu
792. Nenad Teofanov, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
793. Mirjana Dimitrijević, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
794. Marijana Petković, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
795. Jelena Grahovac, naučni saradnik, Institut za onkologiju i radiologiju Srbije
796. Ljubomir Jacić, profesor, Visoka tehnička škola strukovnih studija Požarevac
797. Diana Lupulović, naučni saradnik, Naučni institut za veterinarstvo “Novi Sad”, Novi Sad
798. Gorana Mitić, redovni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
799. Goran Milić, vanredni profesor, Šumarski fakultet, Univerzitet u Beogradu
800. Miodrag Manić, redovni profesor, Mašinski fakultet, Univerzitet u Nišu
801. Smilja Teodorović, vanredni profesor, Kriminalističko-policijski univerzitet, Beograd
802. Emilija Marinković, naučni saradnik, Institut za virusologiju, vakcine i serume “Torlak”
803. Tatjana Damnjanović, vanredni profesor, Medicinski fakultet, Univerzitet u Beogradu
804. Branka Vasiljević, naučni savetnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
805. Ivana Grković, viši naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
806. Tanja Jevđović, docent, Biološki fakultet, Univerzitet u Beogradu
807. Željko Čupić, naučni savetnik, Naučno društvo Srbije
808. Milutin Stepić, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
809. Veljko Vuković, redovni profesor u penziji, Fakultet pedagoških nauka, Univerzitet u Kragujevcu
810. Maja Lazarević, docent, Biološki fakultet, Univerzitet u Beogradu
811. Radovan Antonijević, redovni profesor, Filozofski fakultet, Univerzitet u Beogradu
812. Aleksandar M. Nikolić, vanredni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
813. Milena Potić Floranović, samostalni stručni saradnik, Medicinski fakultet, Univerzitet u Nišu
814. Dragić Banković, redovni profesor u penziji, Prirodno-matematički fakultet, Univerzitet u Kragujevcu
815. Vesna Kojić, naučni saradnik, Medicinski fakultet, Univerzitet u Novom Sadu
816. Slobodan Davidović, istraživač saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
817. Jelena Živković, naučni saradnik, Institut za proučavanje lekovitog bilja “Dr Josif Pančić”
818. Zlata Markov Ristić, naučni saradnik, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
819. Ana Damjanović Veličković, istraživač saradnik, Institut za onkologiju i radiologiju Srbije
820. Branka Tucić, naučni savetnik u penziji, Institut za biološka istraživanja “Siniša Stanković”, Univerziteta u Beogradu
821. Ana Kozmidis Petrović, redovni profesor, Fakultet tehničkih nauka,
Univerzitet u Novom Sadu
822. Maja Nedović, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
823. Ivan Petronijević, istraživač saradnik, Fizički fakultet, Univerzitet u Beogradu
824. Sonja Protić, naučni saradnik, Institut za kriminološka i sociološka istraživanja, Beograd
825. Miloš Vuletić, docent, Filozofski fakultet, Univerzitet u Beogradu
826. Miodrag B. Jovanović, redovni profesor u penziji, Građevinski fakultet, Univerzitet u Beogradu
827. Dejan Radivojević, docent, Rudarsko-geološki fakultet, Univerzitet u Beogradu
828. Snežana Gordić, asistent, Pedagoški fakultet u Somboru, Univerzitet u Novom Sadu
829. Danilo Stojanović, redovni profesor u penziji, Fakultet tehničkih nauka u Čačku, Univerzitet u Kragujevcu
830. Momir Samardžić, redovni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
831. Dušan Milić, redovni profesor u penziji, Poljoprivredni fakultet, Univerzitet u Novom Sadu
832. Emilija Mijić, istraživačica – saradnica, Institut društvenih nauka, Beograd
833. Jelena Petrović, docent, Filozofski fakultet, Univerzitet u Nišu
834. Jovanka Pantović, redovni profesor, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
835. Suzana Dimitrijević-Branković, redovni profesor, Tehnološko-metalurški
fakultet, Univerzitet u Beogradu
836. Tihomir Brajović, redovni profesor, Filološki fakultet, Univerzitet u Beogradu
837. Joana Zakševska, naučni savetnik, Institut za opštu i fizičku hemiju, Beograd
838. Nada Miličić, redovni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
839. Gordana Budimir-Ninković, redovni profesor, Fakultet pedagoških nauka, Univerzitet u Kragujevcu
840. Damir Mađarević, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
841. Gordana Timotijević, viši naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
842. Atila Čeki, naučni saradnik, Astronomska opservatorija, Beograd
843. Rada Drezgić, docent, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
844. Branka Stevanović, redovni profesor u penziji, Biološki fakultet, Univerzitet u Beogradu
845. Tamara Naumović, asistent, Fakultet organizacionih nauka, Univerzitet u Beogradu
846. Jelena Srna, redovni profesor u penziji, Filozofski fakultet, Univerzitet u Beogradu
847. Dragana Matić, istraživač saradnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
848. Goran S. Nikolić, asistent, Elektronski fakultet, Univerzitet u Nišu
849. Živko Jovanović,naučni saradnik,Biološki fakultet, Univerzitet u Beogradu
850. Nikola Kotur, naučni saradnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
851. Ljubo Nedović, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
852. Aleksandar Luj Todorović, redovni profesor u penziji, Fakultet dramskih umetnosti, Univerzitet umetnosti u Beogradu
853. Aleksandar Marinković, redovni profesor, Mašinski fakultet, Univerzitet u Beogradu
854. Ružica Rosandić, redovni profesor, Učiteljski fakultet, Univerzitet u Beogradu
855. Ivica Dimkić, naučni saradnik, Biološki fakultet, Univerzitet u Beogradu
856. Miloš Diklić, istraživač saradnik, Institut za medicinska istraživanja, Univerziteta u Beogradu
857. Ana Simonović, naučni savetnik, Institut za biološka istraživanja “Siniša Stanković”, Univerzitet u Beogradu
858. Slaviša Stamenković, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
859. Mice Poptsis, vanredni profesor, Fakulteta likovnih umetnosti u penziji, Univerzitet umetnosti u Beogradu
860. Ivana Matić, naučni saradnik, Institut za onkologiju i radiologiju Srbije
861. Edib Dobardžić, vanredni profesor, Fizički fakultet, Univerzitet u Beogradu
862. Predrag Puđa, redovni profesor, Poljoprivredni fakultet, Univerzitet u Beogradu
863. Tatjana Cvrković, viši naučni saradnik, Institut za zaštitu bilja i životnu sredinu
864. Srđan Marković,redovni profesor u penziji, Tehnološko-metalurški fakultet, Univerzitet u Beogradu
865. Dragan Delić, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
866. Vladimir Momčilović, vanredni profesor, Saobraćajni fakultet, Univerzitet u Beogradu
867. Lilijana Čičkarić, naučna savetnica, Institut društvenih nauka, Beograd
868. Milica Vukelić, docentkinja, Filozofski fakultet, Univerzitet u Beogradu
869. Vesna Maksimović, naučni savetnik u penziji, Institut za molekularnu genetiku i genetičko inzenjerstvo, Univerzitet u Beogradu
870. Aleksandra Daković, naučni savetnik, Institut za tehnologiju nuklearnih i drugih mineralnih sirovina, Beograd
871. Predrag Kolarž, viši naučni saradnik, Institut za fiziku, Univerzitet u Beogradu
872. Zoran Perović, docent, Gradjevinski fakultet, Univerzitet u Beogradu
873. Vesna Bogojević-Arsić, redovni profesor, Fakultet organizacionih nauka, Univerzitet u Beogradu
874. Dejan Zagorac, naučni saradnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
875. Balša Kašćelan, vanredni profesor, Fakultet za poslovne studije i pravo, Univerzitet Union
876. Rada Matić, viši naučni saradnik, Institut za biološka istraživanja
“Siniša Stanković”, Univerzitet u Beogradu
877. Gordana Milovanović, vanredni profesor, Ekonomski fakultet, Univerzitet u Kragujevcu
878. Mladen Kovačević, istraživač-saradnik, Institut BioSens, Univerzitet u Novom Sadu
879. Mihajlo Vićentijević,istraživač saradnik, Naučni institut za veterinarstvo Srbije
880. Aleksandra Mišan, naučni savetnik, Naučni institut za prehrambene tehnologije, Univerzitet u Novom Sadu
881. Jelena Milinković, naučna saradnica, Institut za književnost i umetnost, Beograd
882. Srđan Marinković, redovni profesor, Ekonomski fakultet, Univerziteta u Nišu
883. Milica Vlahović, viši naučni saradnik, Institut za hemiju, tehnologiju i metalurgiju, Univerzitet u Beogradu
884. Teodora Janković, naučni savetnik, Institut za proučavanje lekovitog bilja “Dr Josif Pančić”
885. Sanja Martinović, viši naučni saradnik, Institut za hemiju tehnologiju i metalurgiju, Univerzitet u Beogradu
886. Božo Trbojević, redovni profesor u penziji, Medicinski fakultet, Univerzitet u Beogradu
887. Gordana Tomović, vanredni profesor, Biološki fakultet, Univerzitet u Beogradu
888. Filip Trpčevski, asistent, Građevinski fakultet, Univerzitet u Beogradu
889. Milica Stevanović, istraživač pripravnik, Prirodno-matematički fakultet, Univerzitet u Nišu
890. Marina Puja-Badesku, redovni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
891. Ivanka Karadžić, redovni profesor, Medicinski fakultet, Univerzitet u Beogradu
892. Milica Radibratović, istraživač saradnik, Institut za hemiju, tehnologiju i metalurgiju,  Univerzitet u Beogradu
893. Ivanka Holclajtner-Antunović, redovni profesor u penziji, Fakultet za fizičku hemiju, Univerzitet u Beogradu
894. Radomir Kobilarov, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
895. Veljko Krstonošić, vanredni profesor, Medicinski fakultet, Univerzitet u Novom Sadu
896. Jovanka Miljuš-Đukić,naučni savetnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
897. Srđan Teparić, docent, Fakultet muzičke umetnosti, Univerzitet umetnosti u Beogradu
898. Nenad Bundaleski, naučni savetnik, Institut za nuklearne nauke “Vinča”, Univerzitet u Beogradu
899. Dragana Stojičić, redovni profesor, Prirodno-matematički fakultet, Univerzitet u Nišu
900. Jovanka Lević, naucni savetnik u penziji, , Univerzitet u Novom Sadu
901. Anica Draganić, docent, Fakultet tehničkih nauka, Univerzitet u Novom Sadu
902. Violeta Slavkovska, vanredna profesorka, Farmaceutski fakultet,
Univerzitet u Beogradu
903. Zoran Dimić, naučni saradnik, Lola institut, Beograd
904. Nemanja Gojković, istraživač-pripravnik, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
905. Vladimir Mihić, vanredni profesor, Filozofski fakultet, Univerzitet u Novom Sadu
906. Menka Petkovska, redovni profesor, Tehnološko-metalurški fakultet Univerziteta u Beogradu
907. Dragica Radojković, naučni savetnik, Institut za molekularnu genetiku i genetičko inženjerstvo, Univerzitet u Beogradu
908. Žarko Vujošević, docent, Filozofski fakultet, Univerzitet u Beogradu
909. Danilo Šarenac, viši naučni saradnik, Institut za savremenu istoriju
910. Janko Međedović, naučni saradnik, Institut za kriminološka i sociološka istraživanja, Beograd
911. Vesna Milankov, redovna profesorka, Prirodno-matematički fakultet, Univerzitet u Novom Sadu
